country_code,country,ouro,prata,bronze,total,rank
USA,United States,40,44,42,126,1
CHN,China,40,27,24,91,2
JPN,Japan,20,12,13,45,3
AUS,Australia,18,19,16,53,4
FRA,France,16,26,22,64,5
NED,Netherlands,15,7,12,34,6
GBR,Great Britain,14,22,29,65,7
KOR,Korea,13,9,10,32,8
ITA,Italy,12,13,15,40,9
GER,Germany,12,13,8,33,10
NZL,New Zealand,10,7,3,20,11
CAN,Canada,9,7,11,27,12
UZB,Uzbekistan,8,2,3,13,13
HUN,Hungary,6,7,6,19,14
ESP,Spain,5,4,9,18,15
SWE,Sweden,4,4,3,11,16
KEN,Kenya,4,2,5,11,17
NOR,Norway,4,1,3,8,18
IRL,Ireland,4,0,3,7,19
BRA,Brazil,3,7,10,20,20
IRI,IR Iran,3,6,3,12,21
UKR,Ukraine,3,5,4,12,22
ROU,Romania,3,4,2,9,23
GEO,Georgia,3,3,1,7,24
BEL,Belgium,3,1,6,10,25
BUL,Bulgaria,3,1,3,7,26
SRB,Serbia,3,1,1,5,27
CZE,Czechia,3,0,2,5,28
DEN,Denmark,2,2,5,9,29
AZE,Azerbaijan,2,2,3,7,30
CRO,Croatia,2,2,3,7,31
CUB,Cuba,2,1,6,9,32
BRN,Bahrain,2,1,1,4,33
SLO,Slovenia,2,1,0,3,34
TPE,Chinese Taipei,2,0,5,7,35
AUT,Austria,2,0,3,5,36
HKG,"Hong Kong, China",2,0,2,4,37
PHI,Philippines,2,0,2,4,38
ALG,Algeria,2,0,1,3,39
INA,Indonesia,2,0,1,3,40
ISR,Israel,1,5,1,7,41
POL,Poland,1,4,5,10,42
KAZ,Kazakhstan,1,3,3,7,43
JAM,Jamaica,1,3,2,6,44
RSA,South Africa,1,3,2,6,45
THA,Thailand,1,3,2,6,46
AIN,AIN,1,3,1,5,47
ETH,Ethiopia,1,3,0,4,48
SUI,Switzerland,1,2,5,8,49
ECU,Ecuador,1,2,2,5,50
POR,Portugal,1,2,1,4,51
GRE,Greece,1,1,6,8,52
ARG,Argentina,1,1,1,3,53
EGY,Egypt,1,1,1,3,54
TUN,Tunisia,1,1,1,3,55
BOT,Botswana,1,1,0,2,56
CHI,Chile,1,1,0,2,57
LCA,Saint Lucia,1,1,0,2,58
UGA,Uganda,1,1,0,2,59
DOM,Dominican Republic,1,0,2,3,60
GUA,Guatemala,1,0,1,2,61
MAR,Morocco,1,0,1,2,62
DMA,Dominica,1,0,0,1,63
PAK,Pakistan,1,0,0,1,64
TUR,Türkiye,0,3,5,8,65
MEX,Mexico,0,3,2,5,66
ARM,Armenia,0,3,1,4,67
COL,Colombia,0,3,1,4,68
KGZ,Kyrgyzstan,0,2,4,6,69
PRK,DPR Korea,0,2,4,6,70
LTU,Lithuania,0,2,2,4,71
IND,India,0,1,5,6,72
MDA,Republic of Moldova,0,1,3,4,73
KOS,Kosovo,0,1,1,2,74
CYP,Cyprus,0,1,0,1,75
FIJ,Fiji,0,1,0,1,76
JOR,Jordan,0,1,0,1,77
MGL,Mongolia,0,1,0,1,78
PAN,Panama,0,1,0,1,79
TJK,Tajikistan,0,0,3,3,80
ALB,Albania,0,0,2,2,81
GRN,Grenada,0,0,2,2,82
MAS,Malaysia,0,0,2,2,83
PUR,Puerto Rico,0,0,2,2,84
CIV,Côte d'Ivoire,0,0,1,1,85
CPV,Cabo Verde,0,0,1,1,86
EOR,EOR,0,0,1,1,87
PER,Peru,0,0,1,1,88
QAT,Qatar,0,0,1,1,89
SGP,Singapore,0,0,1,1,90
SVK,Slovakia,0,0,1,1,91
ZAM,Zambia,0,0,1,1,92
